>1_1	p_riboswitch=0.567109
>75_1	p_riboswitch=0.087448
>76_1	p_riboswitch=0.012717
>77_1	p_riboswitch=0.008311
>78_1	p_riboswitch=0.007050
>79_1	p_riboswitch=0.003759
>80_1	p_riboswitch=0.006625
>81_1	p_riboswitch=0.012792
>82_1	p_riboswitch=0.002174
>83_1	p_riboswitch=0.070187
>84_1	p_riboswitch=0.213929
>85_1	p_riboswitch=0.011087
>86_1	p_riboswitch=0.002570
>87_1	p_riboswitch=0.001701
>88_1	p_riboswitch=0.016010
>89_1	p_riboswitch=0.191163
>90_1	p_riboswitch=0.206600
>91_1	p_riboswitch=0.144019
>92_1	p_riboswitch=0.076681
>93_1	p_riboswitch=0.057960
>94_1	p_riboswitch=0.102298
>95_1	p_riboswitch=0.117076
>96_1	p_riboswitch=0.006521
>97_1	p_riboswitch=0.006434
>98_1	p_riboswitch=0.006103
>99_1	p_riboswitch=0.013356
>100_1	p_riboswitch=0.001903
>101_1	p_riboswitch=0.067971
>102_1	p_riboswitch=0.006323
>103_1	p_riboswitch=0.007353
>104_1	p_riboswitch=0.001671
>105_1	p_riboswitch=0.052007
>106_1	p_riboswitch=0.111014
>107_1	p_riboswitch=0.261458
>108_1	p_riboswitch=0.120071
>109_1	p_riboswitch=0.109446
>110_1	p_riboswitch=0.051566
>111_1	p_riboswitch=0.051018
>112_1	p_riboswitch=0.012020
>113_1	p_riboswitch=0.030936
>114_1	p_riboswitch=0.006392
>115_1	p_riboswitch=0.005054
>116_1	p_riboswitch=0.013002
>117_1	p_riboswitch=0.002064
>118_1	p_riboswitch=0.017503
>119_1	p_riboswitch=0.005114
>120_1	p_riboswitch=0.003541
>121_1	p_riboswitch=0.001472
>122_1	p_riboswitch=0.054583
>123_1	p_riboswitch=0.020017
>124_1	p_riboswitch=0.044723
>125_1	p_riboswitch=0.078249
>126_1	p_riboswitch=0.069662
>127_1	p_riboswitch=0.047386
>128_1	p_riboswitch=0.054511
>129_1	p_riboswitch=0.040232
>130_1	p_riboswitch=0.008001
>131_1	p_riboswitch=0.017511
>132_1	p_riboswitch=0.023271
>133_1	p_riboswitch=0.001999
>134_1	p_riboswitch=0.005428
>135_1	p_riboswitch=0.002759
>136_1	p_riboswitch=0.507959
>137_1	p_riboswitch=0.001530
>138_1	p_riboswitch=0.001478
>139_1	p_riboswitch=0.010373
>140_1	p_riboswitch=0.122575
>141_1	p_riboswitch=0.057842
>142_1	p_riboswitch=0.065961
>143_1	p_riboswitch=0.050561
>144_1	p_riboswitch=0.022363
>145_1	p_riboswitch=0.008093
>146_1	p_riboswitch=0.017836
>147_1	p_riboswitch=0.024726
>148_1	p_riboswitch=0.001776
>149_1	p_riboswitch=0.002354
>150_1	p_riboswitch=0.119153
>151_1	p_riboswitch=0.473228
>152_1	p_riboswitch=0.001434
>153_1	p_riboswitch=0.001356
>154_1	p_riboswitch=0.066607
>155_1	p_riboswitch=0.064425
>156_1	p_riboswitch=0.054583
>157_1	p_riboswitch=0.077519
>158_1	p_riboswitch=0.040997
>159_1	p_riboswitch=0.005504
>160_1	p_riboswitch=0.023223
>161_1	p_riboswitch=0.024576
>162_1	p_riboswitch=0.002416
>163_1	p_riboswitch=0.038459
>164_1	p_riboswitch=0.109758
>165_1	p_riboswitch=0.001949
>166_1	p_riboswitch=0.001339
>167_1	p_riboswitch=0.050793
>168_1	p_riboswitch=0.054074
>169_1	p_riboswitch=0.059935
>170_1	p_riboswitch=0.060290
>171_1	p_riboswitch=0.057926
>172_1	p_riboswitch=0.039624
>173_1	p_riboswitch=0.021606
>174_1	p_riboswitch=0.022691
>175_1	p_riboswitch=0.027175
>176_1	p_riboswitch=0.102646
>177_1	p_riboswitch=0.001621
>178_1	p_riboswitch=0.001734
>179_1	p_riboswitch=0.061859
>180_1	p_riboswitch=0.044737
>181_1	p_riboswitch=0.052692
>182_1	p_riboswitch=0.066344
>183_1	p_riboswitch=0.045047
>184_1	p_riboswitch=0.055439
>185_1	p_riboswitch=0.018940
>186_1	p_riboswitch=0.021303
>187_1	p_riboswitch=0.026857
>188_1	p_riboswitch=0.002009
>189_1	p_riboswitch=0.001500
>190_1	p_riboswitch=0.143740
>191_1	p_riboswitch=0.052196
>192_1	p_riboswitch=0.015158
>193_1	p_riboswitch=0.057365
>194_1	p_riboswitch=0.049065
>195_1	p_riboswitch=0.042526
>196_1	p_riboswitch=0.024835
>197_1	p_riboswitch=0.018871
>198_1	p_riboswitch=0.024406
>199_1	p_riboswitch=0.001784
>200_1	p_riboswitch=0.066490
>201_1	p_riboswitch=0.093962
>202_1	p_riboswitch=0.015469
>203_1	p_riboswitch=0.045312
>204_1	p_riboswitch=0.044589
>205_1	p_riboswitch=0.045308
>206_1	p_riboswitch=0.022950
>207_1	p_riboswitch=0.024106
>208_1	p_riboswitch=0.009881
>209_1	p_riboswitch=0.078942
>210_1	p_riboswitch=0.055573
>211_1	p_riboswitch=0.099205
>212_1	p_riboswitch=0.055078
>213_1	p_riboswitch=0.039084
>214_1	p_riboswitch=0.042127
>215_1	p_riboswitch=0.030329
>216_1	p_riboswitch=0.022670
>217_1	p_riboswitch=0.014790
>218_1	p_riboswitch=0.063558
>219_1	p_riboswitch=0.053182
>220_1	p_riboswitch=0.106428
>221_1	p_riboswitch=0.046045
>222_1	p_riboswitch=0.036848
>223_1	p_riboswitch=0.021691
>224_1	p_riboswitch=0.029138
>225_1	p_riboswitch=0.011123
>226_1	p_riboswitch=0.061888
>227_1	p_riboswitch=0.057243
>228_1	p_riboswitch=0.078913
>229_1	p_riboswitch=0.043557
>230_1	p_riboswitch=0.020411
>231_1	p_riboswitch=0.021456
>232_1	p_riboswitch=0.012805
>233_1	p_riboswitch=0.062661
>234_1	p_riboswitch=0.048650
>235_1	p_riboswitch=0.073702
>236_1	p_riboswitch=0.019845
>237_1	p_riboswitch=0.023455
>238_1	p_riboswitch=0.010091
>239_1	p_riboswitch=0.052098
>240_1	p_riboswitch=0.045904
>241_1	p_riboswitch=0.027741
>242_1	p_riboswitch=0.022431
>243_1	p_riboswitch=0.009836
>244_1	p_riboswitch=0.048546
>245_1	p_riboswitch=0.022187
>246_1	p_riboswitch=0.026493
>247_1	p_riboswitch=0.010448
>248_1	p_riboswitch=0.022149
>249_1	p_riboswitch=0.021676
>250_1	p_riboswitch=0.017157
>251_1	p_riboswitch=0.021475
>252_1	p_riboswitch=0.012605
>253_1	p_riboswitch=0.013199
>254_1	p_riboswitch=0.061047
>255_1	p_riboswitch=0.065293
>256_1	p_riboswitch=0.762880
>257_1	p_riboswitch=0.233011
>258_1	p_riboswitch=0.203346
>259_1	p_riboswitch=0.108756
>260_1	p_riboswitch=0.030404
>261_1	p_riboswitch=0.079983
>262_1	p_riboswitch=0.066703
>263_1	p_riboswitch=0.080753
>264_1	p_riboswitch=0.004772
>265_1	p_riboswitch=0.005092
>266_1	p_riboswitch=0.004394
>267_1	p_riboswitch=0.004004
>268_1	p_riboswitch=0.006611
>269_1	p_riboswitch=0.012202
>270_1	p_riboswitch=0.009153
>271_1	p_riboswitch=0.014801
>272_1	p_riboswitch=0.002831
>273_1	p_riboswitch=0.001233
>274_1	p_riboswitch=0.012203
>275_1	p_riboswitch=0.018478
>276_1	p_riboswitch=0.054628
>277_1	p_riboswitch=0.057501
>278_1	p_riboswitch=0.589813
>279_1	p_riboswitch=0.284293
>280_1	p_riboswitch=0.026074
>281_1	p_riboswitch=0.100238
>282_1	p_riboswitch=0.170629
>283_1	p_riboswitch=0.073529
>284_1	p_riboswitch=0.082151
>285_1	p_riboswitch=0.010381
>286_1	p_riboswitch=0.005511
>287_1	p_riboswitch=0.004214
>288_1	p_riboswitch=0.004061
>289_1	p_riboswitch=0.003774
>290_1	p_riboswitch=0.008881
>291_1	p_riboswitch=0.006247
>292_1	p_riboswitch=0.015434
>293_1	p_riboswitch=0.002088
>294_1	p_riboswitch=0.002445
>295_1	p_riboswitch=0.001181
>296_1	p_riboswitch=0.012118
>297_1	p_riboswitch=0.008668
>298_1	p_riboswitch=0.032093
>299_1	p_riboswitch=0.430549
>300_1	p_riboswitch=0.026640
>301_1	p_riboswitch=0.027850
>302_1	p_riboswitch=0.129834
>303_1	p_riboswitch=0.072253
>304_1	p_riboswitch=0.110623
>305_1	p_riboswitch=0.066567
>306_1	p_riboswitch=0.014045
>307_1	p_riboswitch=0.004445
>308_1	p_riboswitch=0.003918
>309_1	p_riboswitch=0.003851
>310_1	p_riboswitch=0.006818
>311_1	p_riboswitch=0.012945
>312_1	p_riboswitch=0.013866
>313_1	p_riboswitch=0.002804
>314_1	p_riboswitch=0.001859
>315_1	p_riboswitch=0.002311
>316_1	p_riboswitch=0.001216
>317_1	p_riboswitch=0.003410
>318_1	p_riboswitch=0.021653
>319_1	p_riboswitch=0.202254
>320_1	p_riboswitch=0.028947
>321_1	p_riboswitch=0.235103
>322_1	p_riboswitch=0.113860
>323_1	p_riboswitch=0.070497
>324_1	p_riboswitch=0.087448
>325_1	p_riboswitch=0.012717
>326_1	p_riboswitch=0.008311
>327_1	p_riboswitch=0.007050
>328_1	p_riboswitch=0.003759
>329_1	p_riboswitch=0.006625
>330_1	p_riboswitch=0.012792
>331_1	p_riboswitch=0.002174
>332_1	p_riboswitch=0.001878
>333_1	p_riboswitch=0.002420
>334_1	p_riboswitch=0.001812
>335_1	p_riboswitch=0.002023
>336_1	p_riboswitch=0.001701
>337_1	p_riboswitch=0.016010
>338_1	p_riboswitch=0.191163
>339_1	p_riboswitch=0.206600
>340_1	p_riboswitch=0.144019
>341_1	p_riboswitch=0.076681
>342_1	p_riboswitch=0.057960
>343_1	p_riboswitch=0.102298
>344_1	p_riboswitch=0.117076
>345_1	p_riboswitch=0.006521
>346_1	p_riboswitch=0.006434
>347_1	p_riboswitch=0.006103
>348_1	p_riboswitch=0.013356
>349_1	p_riboswitch=0.001903
>350_1	p_riboswitch=0.002208
>351_1	p_riboswitch=0.001729
>352_1	p_riboswitch=0.002310
>353_1	p_riboswitch=0.001654
>354_1	p_riboswitch=0.052007
>355_1	p_riboswitch=0.111014
>356_1	p_riboswitch=0.261458
>357_1	p_riboswitch=0.120071
>358_1	p_riboswitch=0.109446
>359_1	p_riboswitch=0.051566
>360_1	p_riboswitch=0.051018
>361_1	p_riboswitch=0.012020
>362_1	p_riboswitch=0.030936
>363_1	p_riboswitch=0.006392
>364_1	p_riboswitch=0.005054
>365_1	p_riboswitch=0.013002
>366_1	p_riboswitch=0.002064
>367_1	p_riboswitch=0.001914
>368_1	p_riboswitch=0.002079
>369_1	p_riboswitch=0.001727
>370_1	p_riboswitch=0.002012
>371_1	p_riboswitch=0.054583
>372_1	p_riboswitch=0.020017
>373_1	p_riboswitch=0.044723
>374_1	p_riboswitch=0.078249
>375_1	p_riboswitch=0.069662
>376_1	p_riboswitch=0.047386
>377_1	p_riboswitch=0.054511
>378_1	p_riboswitch=0.040232
>379_1	p_riboswitch=0.008001
>380_1	p_riboswitch=0.017511
>381_1	p_riboswitch=0.023271
>382_1	p_riboswitch=0.001999
>383_1	p_riboswitch=0.002055
>384_1	p_riboswitch=0.001848
>385_1	p_riboswitch=0.001902
>386_1	p_riboswitch=0.001603
>387_1	p_riboswitch=0.001478
>388_1	p_riboswitch=0.010373
>389_1	p_riboswitch=0.122575
>390_1	p_riboswitch=0.057842
>391_1	p_riboswitch=0.065961
>392_1	p_riboswitch=0.050561
>393_1	p_riboswitch=0.022363
>394_1	p_riboswitch=0.008093
>395_1	p_riboswitch=0.017836
>396_1	p_riboswitch=0.024726
>397_1	p_riboswitch=0.001776
>398_1	p_riboswitch=0.001988
>399_1	p_riboswitch=0.001974
>400_1	p_riboswitch=0.001759
>401_1	p_riboswitch=0.001786
>402_1	p_riboswitch=0.001356
>403_1	p_riboswitch=0.066607
>404_1	p_riboswitch=0.064425
>405_1	p_riboswitch=0.054583
>406_1	p_riboswitch=0.077519
>407_1	p_riboswitch=0.040997
>408_1	p_riboswitch=0.005504
>409_1	p_riboswitch=0.023223
>410_1	p_riboswitch=0.024576
>411_1	p_riboswitch=0.002416
>412_1	p_riboswitch=0.001764
>413_1	p_riboswitch=0.001922
>414_1	p_riboswitch=0.001886
>415_1	p_riboswitch=0.001691
>416_1	p_riboswitch=0.050793
>417_1	p_riboswitch=0.054074
>418_1	p_riboswitch=0.059935
>419_1	p_riboswitch=0.060290
>420_1	p_riboswitch=0.057926
>421_1	p_riboswitch=0.039624
>422_1	p_riboswitch=0.021606
>423_1	p_riboswitch=0.022691
>424_1	p_riboswitch=0.027175
>425_1	p_riboswitch=0.002410
>426_1	p_riboswitch=0.001725
>427_1	p_riboswitch=0.001851
>428_1	p_riboswitch=0.001803
>429_1	p_riboswitch=0.044737
>430_1	p_riboswitch=0.052692
>431_1	p_riboswitch=0.066344
>432_1	p_riboswitch=0.045047
>433_1	p_riboswitch=0.055439
>434_1	p_riboswitch=0.018940
>435_1	p_riboswitch=0.021303
>436_1	p_riboswitch=0.026857
>437_1	p_riboswitch=0.027605
>438_1	p_riboswitch=0.002294
>439_1	p_riboswitch=0.001670
>440_1	p_riboswitch=0.001780
>441_1	p_riboswitch=0.015158
>442_1	p_riboswitch=0.057365
>443_1	p_riboswitch=0.049065
>444_1	p_riboswitch=0.042526
>445_1	p_riboswitch=0.024835
>446_1	p_riboswitch=0.018871
>447_1	p_riboswitch=0.024406
>448_1	p_riboswitch=0.028328
>449_1	p_riboswitch=0.026379
>450_1	p_riboswitch=0.002161
>451_1	p_riboswitch=0.001639
>452_1	p_riboswitch=0.045312
>453_1	p_riboswitch=0.044589
>454_1	p_riboswitch=0.045308
>455_1	p_riboswitch=0.022950
>456_1	p_riboswitch=0.024106
>457_1	p_riboswitch=0.009881
>458_1	p_riboswitch=0.024755
>459_1	p_riboswitch=0.027028
>460_1	p_riboswitch=0.024849
>461_1	p_riboswitch=0.002048
>462_1	p_riboswitch=0.039084
>463_1	p_riboswitch=0.042127
>464_1	p_riboswitch=0.030329
>465_1	p_riboswitch=0.022670
>466_1	p_riboswitch=0.014790
>467_1	p_riboswitch=0.009134
>468_1	p_riboswitch=0.023139
>469_1	p_riboswitch=0.025395
>470_1	p_riboswitch=0.023633
>471_1	p_riboswitch=0.036848
>472_1	p_riboswitch=0.021691
>473_1	p_riboswitch=0.029138
>474_1	p_riboswitch=0.011123
>475_1	p_riboswitch=0.013341
>476_1	p_riboswitch=0.008557
>477_1	p_riboswitch=0.021534
>478_1	p_riboswitch=0.024030
>479_1	p_riboswitch=0.020411
>480_1	p_riboswitch=0.021456
>481_1	p_riboswitch=0.012805
>482_1	p_riboswitch=0.010328
>483_1	p_riboswitch=0.012042
>484_1	p_riboswitch=0.008222
>485_1	p_riboswitch=0.020074
>486_1	p_riboswitch=0.023455
>487_1	p_riboswitch=0.010091
>488_1	p_riboswitch=0.011748
>489_1	p_riboswitch=0.009584
>490_1	p_riboswitch=0.011247
>491_1	p_riboswitch=0.007668
>492_1	p_riboswitch=0.009836
>493_1	p_riboswitch=0.009407
>494_1	p_riboswitch=0.010729
>495_1	p_riboswitch=0.009059
>496_1	p_riboswitch=0.010080
>497_1	p_riboswitch=0.009215
>498_1	p_riboswitch=0.008833
>499_1	p_riboswitch=0.010035
>500_1	p_riboswitch=0.008359
>501_1	p_riboswitch=0.008729
>502_1	p_riboswitch=0.008463
>503_1	p_riboswitch=0.009115
>504_1	p_riboswitch=0.008428
>505_1	p_riboswitch=0.007892
>506_1	p_riboswitch=0.007922
>507_1	p_riboswitch=0.203346
>508_1	p_riboswitch=0.108756
>509_1	p_riboswitch=0.030404
>510_1	p_riboswitch=0.079983
>511_1	p_riboswitch=0.066703
>512_1	p_riboswitch=0.080753
>513_1	p_riboswitch=0.004772
>514_1	p_riboswitch=0.005092
>515_1	p_riboswitch=0.004394
>516_1	p_riboswitch=0.004004
>517_1	p_riboswitch=0.006611
>518_1	p_riboswitch=0.012202
>519_1	p_riboswitch=0.009153
>520_1	p_riboswitch=0.014801
>521_1	p_riboswitch=0.002831
>522_1	p_riboswitch=0.001233
>523_1	p_riboswitch=0.012203
>524_1	p_riboswitch=0.018478
>525_1	p_riboswitch=0.014914
>526_1	p_riboswitch=0.013885
>527_1	p_riboswitch=0.013765
>528_1	p_riboswitch=0.020235
>529_1	p_riboswitch=0.026074
>530_1	p_riboswitch=0.100238
>531_1	p_riboswitch=0.170629
>532_1	p_riboswitch=0.073529
>533_1	p_riboswitch=0.082151
>534_1	p_riboswitch=0.010381
>535_1	p_riboswitch=0.005511
>536_1	p_riboswitch=0.004214
>537_1	p_riboswitch=0.004061
>538_1	p_riboswitch=0.003774
>539_1	p_riboswitch=0.008881
>540_1	p_riboswitch=0.006247
>541_1	p_riboswitch=0.015434
>542_1	p_riboswitch=0.002088
>543_1	p_riboswitch=0.002445
>544_1	p_riboswitch=0.001181
>545_1	p_riboswitch=0.012118
>546_1	p_riboswitch=0.019150
>547_1	p_riboswitch=0.014954
>548_1	p_riboswitch=0.014038
>549_1	p_riboswitch=0.016393
>550_1	p_riboswitch=0.027850
>551_1	p_riboswitch=0.129834
>552_1	p_riboswitch=0.072253
>553_1	p_riboswitch=0.110623
>554_1	p_riboswitch=0.066567
>555_1	p_riboswitch=0.014045
>556_1	p_riboswitch=0.004445
>557_1	p_riboswitch=0.003918
>558_1	p_riboswitch=0.003851
>559_1	p_riboswitch=0.006818
>560_1	p_riboswitch=0.012945
>561_1	p_riboswitch=0.013866
>562_1	p_riboswitch=0.002804
>563_1	p_riboswitch=0.001859
>564_1	p_riboswitch=0.002311
>565_1	p_riboswitch=0.001216
>566_1	p_riboswitch=0.011055
>567_1	p_riboswitch=0.017326
>568_1	p_riboswitch=0.015969
>569_1	p_riboswitch=0.016622
>570_1	p_riboswitch=0.235103
>571_1	p_riboswitch=0.113860
>572_1	p_riboswitch=0.070497
>573_1	p_riboswitch=0.087448
>574_1	p_riboswitch=0.012717
>575_1	p_riboswitch=0.008311
>576_1	p_riboswitch=0.007050
>577_1	p_riboswitch=0.003759
>578_1	p_riboswitch=0.006625
>579_1	p_riboswitch=0.012792
>580_1	p_riboswitch=0.002174
>581_1	p_riboswitch=0.001878
>582_1	p_riboswitch=0.002420
>583_1	p_riboswitch=0.001812
>584_1	p_riboswitch=0.002023
>585_1	p_riboswitch=0.010664
>586_1	p_riboswitch=0.013078
>587_1	p_riboswitch=0.017912
>588_1	p_riboswitch=0.014278
>589_1	p_riboswitch=0.144019
>590_1	p_riboswitch=0.076681
>591_1	p_riboswitch=0.057960
>592_1	p_riboswitch=0.102298
>593_1	p_riboswitch=0.117076
>594_1	p_riboswitch=0.006521
>595_1	p_riboswitch=0.006434
>596_1	p_riboswitch=0.006103
>597_1	p_riboswitch=0.013356
>598_1	p_riboswitch=0.001903
>599_1	p_riboswitch=0.002208
>600_1	p_riboswitch=0.001729
>601_1	p_riboswitch=0.002310
>602_1	p_riboswitch=0.001654
>603_1	p_riboswitch=0.009098
>604_1	p_riboswitch=0.012697
>605_1	p_riboswitch=0.013437
>606_1	p_riboswitch=0.015817
>607_1	p_riboswitch=0.109446
>608_1	p_riboswitch=0.051566
>609_1	p_riboswitch=0.051018
>610_1	p_riboswitch=0.012020
>611_1	p_riboswitch=0.030936
>612_1	p_riboswitch=0.006392
>613_1	p_riboswitch=0.005054
>614_1	p_riboswitch=0.013002
>615_1	p_riboswitch=0.002064
>616_1	p_riboswitch=0.001914
>617_1	p_riboswitch=0.002079
>618_1	p_riboswitch=0.001727
>619_1	p_riboswitch=0.002012
>620_1	p_riboswitch=0.014073
>621_1	p_riboswitch=0.009350
>622_1	p_riboswitch=0.012994
>623_1	p_riboswitch=0.014717
>624_1	p_riboswitch=0.069662
>625_1	p_riboswitch=0.047386
>626_1	p_riboswitch=0.054511
>627_1	p_riboswitch=0.040232
>628_1	p_riboswitch=0.008001
>629_1	p_riboswitch=0.017511
>630_1	p_riboswitch=0.023271
>631_1	p_riboswitch=0.001999
>632_1	p_riboswitch=0.002055
>633_1	p_riboswitch=0.001848
>634_1	p_riboswitch=0.001902
>635_1	p_riboswitch=0.001603
>636_1	p_riboswitch=0.014378
>637_1	p_riboswitch=0.009464
>638_1	p_riboswitch=0.010226
>639_1	p_riboswitch=0.014004
>640_1	p_riboswitch=0.065961
>641_1	p_riboswitch=0.050561
>642_1	p_riboswitch=0.022363
>643_1	p_riboswitch=0.008093
>644_1	p_riboswitch=0.017836
>645_1	p_riboswitch=0.024726
>646_1	p_riboswitch=0.001776
>647_1	p_riboswitch=0.001988
>648_1	p_riboswitch=0.001974
>649_1	p_riboswitch=0.001759
>650_1	p_riboswitch=0.001786
>651_1	p_riboswitch=0.013439
>652_1	p_riboswitch=0.011006
>653_1	p_riboswitch=0.001671
>654_1	p_riboswitch=0.015854
>655_1	p_riboswitch=0.077519
>656_1	p_riboswitch=0.040997
>657_1	p_riboswitch=0.005504
>658_1	p_riboswitch=0.023223
>659_1	p_riboswitch=0.024576
>660_1	p_riboswitch=0.002416
>661_1	p_riboswitch=0.001764
>662_1	p_riboswitch=0.001922
>663_1	p_riboswitch=0.001886
>664_1	p_riboswitch=0.001691
>665_1	p_riboswitch=0.001841
>666_1	p_riboswitch=0.013185
>667_1	p_riboswitch=0.009731
>668_1	p_riboswitch=0.015916
>669_1	p_riboswitch=0.057926
>670_1	p_riboswitch=0.039624
>671_1	p_riboswitch=0.021606
>672_1	p_riboswitch=0.022691
>673_1	p_riboswitch=0.027175
>674_1	p_riboswitch=0.002410
>675_1	p_riboswitch=0.001725
>676_1	p_riboswitch=0.001851
>677_1	p_riboswitch=0.001803
>678_1	p_riboswitch=0.001724
>679_1	p_riboswitch=0.001829
>680_1	p_riboswitch=0.009053
>681_1	p_riboswitch=0.012486
>682_1	p_riboswitch=0.055439
>683_1	p_riboswitch=0.018940
>684_1	p_riboswitch=0.021303
>685_1	p_riboswitch=0.026857
>686_1	p_riboswitch=0.027605
>687_1	p_riboswitch=0.002294
>688_1	p_riboswitch=0.001670
>689_1	p_riboswitch=0.001780
>690_1	p_riboswitch=0.001834
>691_1	p_riboswitch=0.001696
>692_1	p_riboswitch=0.010610
>693_1	p_riboswitch=0.011032
>694_1	p_riboswitch=0.024835
>695_1	p_riboswitch=0.018871
>696_1	p_riboswitch=0.024406
>697_1	p_riboswitch=0.028328
>698_1	p_riboswitch=0.026379
>699_1	p_riboswitch=0.002161
>700_1	p_riboswitch=0.001639
>701_1	p_riboswitch=0.001806
>702_1	p_riboswitch=0.001798
>703_1	p_riboswitch=0.008958
>704_1	p_riboswitch=0.012736
>705_1	p_riboswitch=0.024106
>706_1	p_riboswitch=0.009881
>707_1	p_riboswitch=0.024755
>708_1	p_riboswitch=0.027028
>709_1	p_riboswitch=0.024849
>710_1	p_riboswitch=0.002048
>711_1	p_riboswitch=0.018672
>712_1	p_riboswitch=0.001768
>713_1	p_riboswitch=0.008793
>714_1	p_riboswitch=0.010688
>715_1	p_riboswitch=0.014790
>716_1	p_riboswitch=0.009134
>717_1	p_riboswitch=0.023139
>718_1	p_riboswitch=0.025395
>719_1	p_riboswitch=0.023633
>720_1	p_riboswitch=0.023107
>721_1	p_riboswitch=0.018640
>722_1	p_riboswitch=0.008221
>723_1	p_riboswitch=0.010478
>724_1	p_riboswitch=0.013341
>725_1	p_riboswitch=0.008557
>726_1	p_riboswitch=0.021534
>727_1	p_riboswitch=0.024030
>728_1	p_riboswitch=0.017807
>729_1	p_riboswitch=0.022772
>730_1	p_riboswitch=0.007054
>731_1	p_riboswitch=0.009707
>732_1	p_riboswitch=0.012042
>733_1	p_riboswitch=0.008222
>734_1	p_riboswitch=0.020074
>735_1	p_riboswitch=0.020506
>736_1	p_riboswitch=0.022856
>737_1	p_riboswitch=0.010798
>738_1	p_riboswitch=0.008077
>739_1	p_riboswitch=0.011247
>740_1	p_riboswitch=0.007668
>741_1	p_riboswitch=0.019552
>742_1	p_riboswitch=0.020628
>743_1	p_riboswitch=0.023505
>744_1	p_riboswitch=0.012768
>745_1	p_riboswitch=0.010080
>746_1	p_riboswitch=0.007506
>747_1	p_riboswitch=0.018177
>748_1	p_riboswitch=0.021799
>749_1	p_riboswitch=0.026683
>750_1	p_riboswitch=0.009853
>751_1	p_riboswitch=0.017811
>752_1	p_riboswitch=0.018411
>753_1	p_riboswitch=0.025980
>754_1	p_riboswitch=0.020619
>755_1	p_riboswitch=0.007277
>756_1	p_riboswitch=0.019821
>757_1	p_riboswitch=0.020545
>758_1	p_riboswitch=0.018882
>759_1	p_riboswitch=0.022990
>760_1	p_riboswitch=0.066703
>761_1	p_riboswitch=0.080753
>762_1	p_riboswitch=0.004772
>763_1	p_riboswitch=0.005092
>764_1	p_riboswitch=0.004394
>765_1	p_riboswitch=0.004004
>766_1	p_riboswitch=0.006611
>767_1	p_riboswitch=0.012202
>768_1	p_riboswitch=0.009153
>769_1	p_riboswitch=0.014801
>770_1	p_riboswitch=0.002831
>771_1	p_riboswitch=0.001233
>772_1	p_riboswitch=0.012203
>773_1	p_riboswitch=0.018478
>774_1	p_riboswitch=0.014914
>775_1	p_riboswitch=0.013885
>776_1	p_riboswitch=0.013765
