>Grupo_1 Identificou 1520:
1_1	p_riboswitch=0.567109
1944_1	p_riboswitch=0.999234
1945_1	p_riboswitch=0.997064
1946_1	p_riboswitch=0.998382
1954_1	p_riboswitch=0.978023
1955_1	p_riboswitch=0.998009
1956_1	p_riboswitch=0.996453
1957_1	p_riboswitch=0.997084
1958_1	p_riboswitch=0.998442
1966_1	p_riboswitch=0.997413
1967_1	p_riboswitch=0.998636
1968_1	p_riboswitch=0.996309
1969_1	p_riboswitch=0.998250
1974_1	p_riboswitch=0.972774
1976_1	p_riboswitch=0.996486
1977_1	p_riboswitch=0.998377
1978_1	p_riboswitch=0.998755
1979_1	p_riboswitch=0.998256
1983_1	p_riboswitch=0.985868
1984_1	p_riboswitch=0.981308
1986_1	p_riboswitch=0.997846
1987_1	p_riboswitch=0.998466
1988_1	p_riboswitch=0.997966
1992_1	p_riboswitch=0.960570
1993_1	p_riboswitch=0.995183
1995_1	p_riboswitch=0.998058
1996_1	p_riboswitch=0.998704
1998_1	p_riboswitch=0.894039
1999_1	p_riboswitch=0.992043
2000_1	p_riboswitch=0.994898
2001_1	p_riboswitch=0.988110
2002_1	p_riboswitch=0.997130
2003_1	p_riboswitch=0.998547
2004_1	p_riboswitch=0.718568
2005_1	p_riboswitch=0.955642
2006_1	p_riboswitch=0.995589
2007_1	p_riboswitch=0.994330
2008_1	p_riboswitch=0.990540
2009_1	p_riboswitch=0.996650
2011_1	p_riboswitch=0.793433
2012_1	p_riboswitch=0.995169
2013_1	p_riboswitch=0.994991
2014_1	p_riboswitch=0.996619
2016_1	p_riboswitch=0.979140
2017_1	p_riboswitch=0.995589
2018_1	p_riboswitch=0.996802
2019_1	p_riboswitch=0.956802
2020_1	p_riboswitch=0.987252
2021_1	p_riboswitch=0.996864
2022_1	p_riboswitch=0.987502
2023_1	p_riboswitch=0.994632
2024_1	p_riboswitch=0.992920
2030_1	p_riboswitch=0.859586
2031_1	p_riboswitch=0.932809
2034_1	p_riboswitch=0.857328
2035_1	p_riboswitch=0.549665
2036_1	p_riboswitch=0.998120
2037_1	p_riboswitch=0.957100
2038_1	p_riboswitch=0.955693
2039_1	p_riboswitch=0.966884
2040_1	p_riboswitch=0.993673
2041_1	p_riboswitch=0.983860
2042_1	p_riboswitch=0.847119
2043_1	p_riboswitch=0.810881
2044_1	p_riboswitch=0.939823
2045_1	p_riboswitch=0.995874
2046_1	p_riboswitch=0.992620
2052_1	p_riboswitch=0.947339
2057_1	p_riboswitch=0.997280
2058_1	p_riboswitch=0.999032
2059_1	p_riboswitch=0.975080
2060_1	p_riboswitch=0.979481
2061_1	p_riboswitch=0.944628
2062_1	p_riboswitch=0.995203
2063_1	p_riboswitch=0.702282
2064_1	p_riboswitch=0.574991
2065_1	p_riboswitch=0.790771
2066_1	p_riboswitch=0.947270
2067_1	p_riboswitch=0.548793
2068_1	p_riboswitch=0.611342
2072_1	p_riboswitch=0.700971
2075_1	p_riboswitch=0.674017
2077_1	p_riboswitch=0.997943
2078_1	p_riboswitch=0.998685
2079_1	p_riboswitch=0.999343
2080_1	p_riboswitch=0.985787
2081_1	p_riboswitch=0.998395
2082_1	p_riboswitch=0.964020
2083_1	p_riboswitch=0.817923
2084_1	p_riboswitch=0.515940
2085_1	p_riboswitch=0.839829
2086_1	p_riboswitch=0.805994
2087_1	p_riboswitch=0.988579
2091_1	p_riboswitch=0.529628
2096_1	p_riboswitch=0.991025
2097_1	p_riboswitch=0.998806
2098_1	p_riboswitch=0.999164
2099_1	p_riboswitch=0.999535
2100_1	p_riboswitch=0.997681
2101_1	p_riboswitch=0.998590
2102_1	p_riboswitch=0.986094
2103_1	p_riboswitch=0.753755
2104_1	p_riboswitch=0.664083
2105_1	p_riboswitch=0.869763
2106_1	p_riboswitch=0.694443
2114_1	p_riboswitch=0.549320
2115_1	p_riboswitch=0.996251
2116_1	p_riboswitch=0.999155
2117_1	p_riboswitch=0.999466
2118_1	p_riboswitch=0.997620
2119_1	p_riboswitch=0.997634
2120_1	p_riboswitch=0.960098
2121_1	p_riboswitch=0.986405
2122_1	p_riboswitch=0.868636
2123_1	p_riboswitch=0.722405
2124_1	p_riboswitch=0.830979
2131_1	p_riboswitch=0.573049
2132_1	p_riboswitch=0.998932
2133_1	p_riboswitch=0.997994
2134_1	p_riboswitch=0.999403
2135_1	p_riboswitch=0.999542
2136_1	p_riboswitch=0.997586
2137_1	p_riboswitch=0.991633
2138_1	p_riboswitch=0.961412
2139_1	p_riboswitch=0.897047
2140_1	p_riboswitch=0.850642
2141_1	p_riboswitch=0.644774
2142_1	p_riboswitch=0.566517
2148_1	p_riboswitch=0.996501
2149_1	p_riboswitch=0.999135
2150_1	p_riboswitch=0.998768
2151_1	p_riboswitch=0.999530
2152_1	p_riboswitch=0.999505
2153_1	p_riboswitch=0.998543
2154_1	p_riboswitch=0.994294
2155_1	p_riboswitch=0.951497
2156_1	p_riboswitch=0.890364
2157_1	p_riboswitch=0.763766
2163_1	p_riboswitch=0.997831
2164_1	p_riboswitch=0.998945
2165_1	p_riboswitch=0.994791
2166_1	p_riboswitch=0.999293
2167_1	p_riboswitch=0.999486
2168_1	p_riboswitch=0.998561
2169_1	p_riboswitch=0.998586
2170_1	p_riboswitch=0.995023
2171_1	p_riboswitch=0.998105
2172_1	p_riboswitch=0.767753
2177_1	p_riboswitch=0.992014
2178_1	p_riboswitch=0.998478
2179_1	p_riboswitch=0.998168
2180_1	p_riboswitch=0.997080
2181_1	p_riboswitch=0.999154
2182_1	p_riboswitch=0.998553
2183_1	p_riboswitch=0.998590
2184_1	p_riboswitch=0.998598
2185_1	p_riboswitch=0.997192
2186_1	p_riboswitch=0.998123
2190_1	p_riboswitch=0.989067
2191_1	p_riboswitch=0.987689
2192_1	p_riboswitch=0.999024
2193_1	p_riboswitch=0.999234
2194_1	p_riboswitch=0.997064
2195_1	p_riboswitch=0.998382
2196_1	p_riboswitch=0.998538
2197_1	p_riboswitch=0.998590
2198_1	p_riboswitch=0.998629
2199_1	p_riboswitch=0.997196
2203_1	p_riboswitch=0.978023
2204_1	p_riboswitch=0.998009
2205_1	p_riboswitch=0.996453
2206_1	p_riboswitch=0.997084
2207_1	p_riboswitch=0.998442
2208_1	p_riboswitch=0.998368
2209_1	p_riboswitch=0.998525
2210_1	p_riboswitch=0.998603
2211_1	p_riboswitch=0.998595
2215_1	p_riboswitch=0.997413
2216_1	p_riboswitch=0.998636
2217_1	p_riboswitch=0.996309
2218_1	p_riboswitch=0.998250
2219_1	p_riboswitch=0.998403
2220_1	p_riboswitch=0.998325
2221_1	p_riboswitch=0.998579
2222_1	p_riboswitch=0.998541
2223_1	p_riboswitch=0.972774
2225_1	p_riboswitch=0.996486
2226_1	p_riboswitch=0.998377
2227_1	p_riboswitch=0.998755
2228_1	p_riboswitch=0.998256
2229_1	p_riboswitch=0.998225
2230_1	p_riboswitch=0.998391
2231_1	p_riboswitch=0.998330
2232_1	p_riboswitch=0.998499
2233_1	p_riboswitch=0.981308
2235_1	p_riboswitch=0.997846
2236_1	p_riboswitch=0.998466
2237_1	p_riboswitch=0.997966
2238_1	p_riboswitch=0.998121
2239_1	p_riboswitch=0.998199
2240_1	p_riboswitch=0.998481
2241_1	p_riboswitch=0.998162
2242_1	p_riboswitch=0.995183
2244_1	p_riboswitch=0.998058
2245_1	p_riboswitch=0.998704
2246_1	p_riboswitch=0.997739
2247_1	p_riboswitch=0.998116
2248_1	p_riboswitch=0.999692
2249_1	p_riboswitch=0.998455
2250_1	p_riboswitch=0.988110
2251_1	p_riboswitch=0.997130
2252_1	p_riboswitch=0.998547
2253_1	p_riboswitch=0.998485
2254_1	p_riboswitch=0.997671
2255_1	p_riboswitch=0.998822
2256_1	p_riboswitch=0.999677
2257_1	p_riboswitch=0.990540
2258_1	p_riboswitch=0.996650
2259_1	p_riboswitch=0.998305
2260_1	p_riboswitch=0.998410
2261_1	p_riboswitch=0.998392
2262_1	p_riboswitch=0.998782
2263_1	p_riboswitch=0.996619
2264_1	p_riboswitch=0.996198
2265_1	p_riboswitch=0.998195
2266_1	p_riboswitch=0.998211
2267_1	p_riboswitch=0.998275
2268_1	p_riboswitch=0.996518
2269_1	p_riboswitch=0.995799
2270_1	p_riboswitch=0.997760
2271_1	p_riboswitch=0.998030
2272_1	p_riboswitch=0.996412
2273_1	p_riboswitch=0.996122
2274_1	p_riboswitch=0.997538
2275_1	p_riboswitch=0.996252
2276_1	p_riboswitch=0.995673
2277_1	p_riboswitch=0.996190
2279_1	p_riboswitch=0.859586
2280_1	p_riboswitch=0.932809
2283_1	p_riboswitch=0.857328
2284_1	p_riboswitch=0.549665
2285_1	p_riboswitch=0.998120
2286_1	p_riboswitch=0.957100
2287_1	p_riboswitch=0.955693
2288_1	p_riboswitch=0.966884
2289_1	p_riboswitch=0.993673
2290_1	p_riboswitch=0.983860
2291_1	p_riboswitch=0.847119
2292_1	p_riboswitch=0.810881
2293_1	p_riboswitch=0.939823
2294_1	p_riboswitch=0.995874
2295_1	p_riboswitch=0.992620
2296_1	p_riboswitch=0.791607
2297_1	p_riboswitch=0.554545
2298_1	p_riboswitch=0.873275
2299_1	p_riboswitch=0.787009
2301_1	p_riboswitch=0.947339
2306_1	p_riboswitch=0.997280
2307_1	p_riboswitch=0.999032
2308_1	p_riboswitch=0.975080
2309_1	p_riboswitch=0.979481
2310_1	p_riboswitch=0.944628
2311_1	p_riboswitch=0.995203
2312_1	p_riboswitch=0.702282
2313_1	p_riboswitch=0.574991
2314_1	p_riboswitch=0.790771
2315_1	p_riboswitch=0.947270
2316_1	p_riboswitch=0.548793
2317_1	p_riboswitch=0.989341
2318_1	p_riboswitch=0.620648
2320_1	p_riboswitch=0.947200
2321_1	p_riboswitch=0.700971
2324_1	p_riboswitch=0.674017
2326_1	p_riboswitch=0.997943
2327_1	p_riboswitch=0.998685
2328_1	p_riboswitch=0.999343
2329_1	p_riboswitch=0.985787
2330_1	p_riboswitch=0.998395
2331_1	p_riboswitch=0.964020
2332_1	p_riboswitch=0.817923
2333_1	p_riboswitch=0.515940
2334_1	p_riboswitch=0.839829
2335_1	p_riboswitch=0.805994
2336_1	p_riboswitch=0.988579
2337_1	p_riboswitch=0.985868
2338_1	p_riboswitch=0.988920
2339_1	p_riboswitch=0.548120
2345_1	p_riboswitch=0.991025
2346_1	p_riboswitch=0.998806
2347_1	p_riboswitch=0.999164
2348_1	p_riboswitch=0.999535
2349_1	p_riboswitch=0.997681
2350_1	p_riboswitch=0.998590
2351_1	p_riboswitch=0.986094
2352_1	p_riboswitch=0.753755
2353_1	p_riboswitch=0.664083
2354_1	p_riboswitch=0.869763
2355_1	p_riboswitch=0.694443
2356_1	p_riboswitch=0.970239
2357_1	p_riboswitch=0.983064
2358_1	p_riboswitch=0.991770
2363_1	p_riboswitch=0.549320
2364_1	p_riboswitch=0.996251
2365_1	p_riboswitch=0.999155
2366_1	p_riboswitch=0.999466
2367_1	p_riboswitch=0.997620
2368_1	p_riboswitch=0.997634
2369_1	p_riboswitch=0.960098
2370_1	p_riboswitch=0.986405
2371_1	p_riboswitch=0.868636
2372_1	p_riboswitch=0.722405
2373_1	p_riboswitch=0.830979
2375_1	p_riboswitch=0.971098
2376_1	p_riboswitch=0.970700
2377_1	p_riboswitch=0.989562
2380_1	p_riboswitch=0.573049
2381_1	p_riboswitch=0.998932
2382_1	p_riboswitch=0.997994
2383_1	p_riboswitch=0.999403
2384_1	p_riboswitch=0.999542
2385_1	p_riboswitch=0.997586
2386_1	p_riboswitch=0.991633
2387_1	p_riboswitch=0.961412
2388_1	p_riboswitch=0.897047
2389_1	p_riboswitch=0.850642
2390_1	p_riboswitch=0.644774
2391_1	p_riboswitch=0.707270
2393_1	p_riboswitch=0.973265
2394_1	p_riboswitch=0.958796
2397_1	p_riboswitch=0.996501
2398_1	p_riboswitch=0.999135
2399_1	p_riboswitch=0.998768
2400_1	p_riboswitch=0.999530
2401_1	p_riboswitch=0.999505
2402_1	p_riboswitch=0.998543
2403_1	p_riboswitch=0.994294
2404_1	p_riboswitch=0.951497
2405_1	p_riboswitch=0.890364
2406_1	p_riboswitch=0.763766
2407_1	p_riboswitch=0.987159
2408_1	p_riboswitch=0.673468
2410_1	p_riboswitch=0.943314
2412_1	p_riboswitch=0.997831
2413_1	p_riboswitch=0.998945
2414_1	p_riboswitch=0.994791
2415_1	p_riboswitch=0.999293
2416_1	p_riboswitch=0.999486
2417_1	p_riboswitch=0.998561
2418_1	p_riboswitch=0.998586
2419_1	p_riboswitch=0.995023
2420_1	p_riboswitch=0.998105
2421_1	p_riboswitch=0.767753
2422_1	p_riboswitch=0.992660
2424_1	p_riboswitch=0.615458
2426_1	p_riboswitch=0.992014
2427_1	p_riboswitch=0.998478
2428_1	p_riboswitch=0.998168
2429_1	p_riboswitch=0.997080
2430_1	p_riboswitch=0.999154
2431_1	p_riboswitch=0.998553
2432_1	p_riboswitch=0.998590
2433_1	p_riboswitch=0.998598
2434_1	p_riboswitch=0.997192
2435_1	p_riboswitch=0.998123
2436_1	p_riboswitch=0.969298
2437_1	p_riboswitch=0.571469
2439_1	p_riboswitch=0.520367
2440_1	p_riboswitch=0.987689
2441_1	p_riboswitch=0.999024
2442_1	p_riboswitch=0.999234
2443_1	p_riboswitch=0.997064
2444_1	p_riboswitch=0.998382
2445_1	p_riboswitch=0.998538
2446_1	p_riboswitch=0.998590
2447_1	p_riboswitch=0.998629
2448_1	p_riboswitch=0.997196
2449_1	p_riboswitch=0.945344
2450_1	p_riboswitch=0.697175
2453_1	p_riboswitch=0.998009
2454_1	p_riboswitch=0.996453
2455_1	p_riboswitch=0.997084
2456_1	p_riboswitch=0.998442
2457_1	p_riboswitch=0.998368
2458_1	p_riboswitch=0.998525
2459_1	p_riboswitch=0.998603
2460_1	p_riboswitch=0.998595
2461_1	p_riboswitch=0.990051
2462_1	p_riboswitch=0.849092
2463_1	p_riboswitch=0.985128
2465_1	p_riboswitch=0.998636
2466_1	p_riboswitch=0.996309
2467_1	p_riboswitch=0.998250
2468_1	p_riboswitch=0.998403
2469_1	p_riboswitch=0.998325
2470_1	p_riboswitch=0.998579
2471_1	p_riboswitch=0.998541
2472_1	p_riboswitch=0.998381
2473_1	p_riboswitch=0.985902
2474_1	p_riboswitch=0.816335
2475_1	p_riboswitch=0.983055
2476_1	p_riboswitch=0.998755
2477_1	p_riboswitch=0.998256
2478_1	p_riboswitch=0.998225
2479_1	p_riboswitch=0.998391
2480_1	p_riboswitch=0.998330
2481_1	p_riboswitch=0.998499
2482_1	p_riboswitch=0.998269
2483_1	p_riboswitch=0.998261
2484_1	p_riboswitch=0.982148
2485_1	p_riboswitch=0.748497
2486_1	p_riboswitch=0.997966
2487_1	p_riboswitch=0.998121
2488_1	p_riboswitch=0.998199
2489_1	p_riboswitch=0.998481
2490_1	p_riboswitch=0.998162
2491_1	p_riboswitch=0.998183
2492_1	p_riboswitch=0.998122
2493_1	p_riboswitch=0.998191
2494_1	p_riboswitch=0.974606
2495_1	p_riboswitch=0.997739
2496_1	p_riboswitch=0.998116
2497_1	p_riboswitch=0.999692
2498_1	p_riboswitch=0.998455
2499_1	p_riboswitch=0.997598
2500_1	p_riboswitch=0.998026
2501_1	p_riboswitch=0.998020
2502_1	p_riboswitch=0.998084
2503_1	p_riboswitch=0.997671
2504_1	p_riboswitch=0.998822
2505_1	p_riboswitch=0.999677
2506_1	p_riboswitch=0.998308
2507_1	p_riboswitch=0.997311
2508_1	p_riboswitch=0.997868
2509_1	p_riboswitch=0.997852
2510_1	p_riboswitch=0.998392
2511_1	p_riboswitch=0.998782
2512_1	p_riboswitch=0.999597
2513_1	p_riboswitch=0.997735
2514_1	p_riboswitch=0.997035
2515_1	p_riboswitch=0.997626
2516_1	p_riboswitch=0.998275
2517_1	p_riboswitch=0.998307
2518_1	p_riboswitch=0.996888
2519_1	p_riboswitch=0.997508
2520_1	p_riboswitch=0.996538
2521_1	p_riboswitch=0.997159
2522_1	p_riboswitch=0.998300
2523_1	p_riboswitch=0.996486
2524_1	p_riboswitch=0.997181
2525_1	p_riboswitch=0.997917
2526_1	p_riboswitch=0.998121
2527_1	p_riboswitch=0.999245
2528_1	p_riboswitch=0.997543
2529_1	p_riboswitch=0.997376
2530_1	p_riboswitch=0.997026
2532_1	p_riboswitch=0.857328
2533_1	p_riboswitch=0.549665
2534_1	p_riboswitch=0.998120
2535_1	p_riboswitch=0.957100
2536_1	p_riboswitch=0.955693
2537_1	p_riboswitch=0.966884
2538_1	p_riboswitch=0.993673
2539_1	p_riboswitch=0.983860
2540_1	p_riboswitch=0.847119
2541_1	p_riboswitch=0.810881
2542_1	p_riboswitch=0.939823
2543_1	p_riboswitch=0.995874
2544_1	p_riboswitch=0.992620
2545_1	p_riboswitch=0.791607
2546_1	p_riboswitch=0.554545
2547_1	p_riboswitch=0.873275
2548_1	p_riboswitch=0.787009
2549_1	p_riboswitch=0.880969
2555_1	p_riboswitch=0.997280
2556_1	p_riboswitch=0.999032
2557_1	p_riboswitch=0.975080
2558_1	p_riboswitch=0.979481
2559_1	p_riboswitch=0.944628
2560_1	p_riboswitch=0.995203
2561_1	p_riboswitch=0.702282
2562_1	p_riboswitch=0.574991
2563_1	p_riboswitch=0.790771
2564_1	p_riboswitch=0.947270
2565_1	p_riboswitch=0.548793
2566_1	p_riboswitch=0.989341
2567_1	p_riboswitch=0.620648
2569_1	p_riboswitch=0.947200
2570_1	p_riboswitch=0.524379
2571_1	p_riboswitch=0.907062
2575_1	p_riboswitch=0.997943
2576_1	p_riboswitch=0.998685
2577_1	p_riboswitch=0.999343
2578_1	p_riboswitch=0.985787
2579_1	p_riboswitch=0.998395
2580_1	p_riboswitch=0.964020
2581_1	p_riboswitch=0.817923
2582_1	p_riboswitch=0.515940
2583_1	p_riboswitch=0.839829
2584_1	p_riboswitch=0.805994
2585_1	p_riboswitch=0.988579
2586_1	p_riboswitch=0.985868
2587_1	p_riboswitch=0.988920
2588_1	p_riboswitch=0.548120
2590_1	p_riboswitch=0.975210
2591_1	p_riboswitch=0.675184
2592_1	p_riboswitch=0.617537
2594_1	p_riboswitch=0.991025
2595_1	p_riboswitch=0.998806
2596_1	p_riboswitch=0.999164
2597_1	p_riboswitch=0.999535
2598_1	p_riboswitch=0.997681
2599_1	p_riboswitch=0.998590
2600_1	p_riboswitch=0.986094
2601_1	p_riboswitch=0.753755
2602_1	p_riboswitch=0.664083
2603_1	p_riboswitch=0.869763
2604_1	p_riboswitch=0.694443
2605_1	p_riboswitch=0.970239
2606_1	p_riboswitch=0.983064
2607_1	p_riboswitch=0.991770
2609_1	p_riboswitch=0.937792
2610_1	p_riboswitch=0.979253
2611_1	p_riboswitch=0.558066
2612_1	p_riboswitch=0.806327
2613_1	p_riboswitch=0.996251
2614_1	p_riboswitch=0.999155
2615_1	p_riboswitch=0.999466
2616_1	p_riboswitch=0.997620
2617_1	p_riboswitch=0.997634
2618_1	p_riboswitch=0.960098
2619_1	p_riboswitch=0.986405
2620_1	p_riboswitch=0.868636
2621_1	p_riboswitch=0.722405
2622_1	p_riboswitch=0.830979
2624_1	p_riboswitch=0.971098
2625_1	p_riboswitch=0.970700
2626_1	p_riboswitch=0.989562
2627_1	p_riboswitch=0.939331
2628_1	p_riboswitch=0.938961
2629_1	p_riboswitch=0.965922
2630_1	p_riboswitch=0.684870
2631_1	p_riboswitch=0.997994
2632_1	p_riboswitch=0.999403
2633_1	p_riboswitch=0.999542
2634_1	p_riboswitch=0.997586
2635_1	p_riboswitch=0.991633
2636_1	p_riboswitch=0.961412
2637_1	p_riboswitch=0.897047
2638_1	p_riboswitch=0.850642
2639_1	p_riboswitch=0.644774
2640_1	p_riboswitch=0.707270
2642_1	p_riboswitch=0.973265
2643_1	p_riboswitch=0.958796
2644_1	p_riboswitch=0.929494
2645_1	p_riboswitch=0.942600
2646_1	p_riboswitch=0.837384
2647_1	p_riboswitch=0.970133
2648_1	p_riboswitch=0.998768
2649_1	p_riboswitch=0.999530
2650_1	p_riboswitch=0.999505
2651_1	p_riboswitch=0.998543
2652_1	p_riboswitch=0.994294
2653_1	p_riboswitch=0.951497
2654_1	p_riboswitch=0.890364
2655_1	p_riboswitch=0.763766
2656_1	p_riboswitch=0.987159
2657_1	p_riboswitch=0.673468
2659_1	p_riboswitch=0.943314
2660_1	p_riboswitch=0.595887
2661_1	p_riboswitch=0.939464
2662_1	p_riboswitch=0.878529
2663_1	p_riboswitch=0.779114
2664_1	p_riboswitch=0.999293
2665_1	p_riboswitch=0.999486
2666_1	p_riboswitch=0.998561
2667_1	p_riboswitch=0.998586
2668_1	p_riboswitch=0.995023
2669_1	p_riboswitch=0.998105
2670_1	p_riboswitch=0.767753
2671_1	p_riboswitch=0.992660
2673_1	p_riboswitch=0.615458
2675_1	p_riboswitch=0.965169
2676_1	p_riboswitch=0.683978
2677_1	p_riboswitch=0.958014
2678_1	p_riboswitch=0.866816
2679_1	p_riboswitch=0.999154
2680_1	p_riboswitch=0.998553
2681_1	p_riboswitch=0.998590
2682_1	p_riboswitch=0.998598
2683_1	p_riboswitch=0.997192
2684_1	p_riboswitch=0.998123
2685_1	p_riboswitch=0.969298
2686_1	p_riboswitch=0.571469
2688_1	p_riboswitch=0.520367
2690_1	p_riboswitch=0.966193
2691_1	p_riboswitch=0.895090
2692_1	p_riboswitch=0.830146
2693_1	p_riboswitch=0.998382
2694_1	p_riboswitch=0.998538
2695_1	p_riboswitch=0.998590
2696_1	p_riboswitch=0.998629
2697_1	p_riboswitch=0.997196
2698_1	p_riboswitch=0.945344
2699_1	p_riboswitch=0.697175
2702_1	p_riboswitch=0.653042
2704_1	p_riboswitch=0.877105
2706_1	p_riboswitch=0.998368
2707_1	p_riboswitch=0.998525
2708_1	p_riboswitch=0.998603
2709_1	p_riboswitch=0.998595
2710_1	p_riboswitch=0.990051
2711_1	p_riboswitch=0.849092
2712_1	p_riboswitch=0.985128
2714_1	p_riboswitch=0.527552
2715_1	p_riboswitch=0.674215
2717_1	p_riboswitch=0.946384
2718_1	p_riboswitch=0.998325
2719_1	p_riboswitch=0.998579
2720_1	p_riboswitch=0.998541
2721_1	p_riboswitch=0.998381
2722_1	p_riboswitch=0.985902
2723_1	p_riboswitch=0.816335
2724_1	p_riboswitch=0.983055
2725_1	p_riboswitch=0.610532
